model1,model2,ac2,outcome
deepseek,gemini-2.5-flash-preview-09-2025,0.26132,Nerve block
deepseek,gpt-5-2025-08-07,0.25265,Nerve block
deepseek,gpt-5-mini-2025-08-07,0.73537,Nerve block
deepseek,gpt-5-nano-2025-08-07,-0.90632,Nerve block
gemini-2.5-flash-preview-09-2025,gpt-5-2025-08-07,0.89844,Nerve block
gemini-2.5-flash-preview-09-2025,gpt-5-mini-2025-08-07,0.4141,Nerve block
gemini-2.5-flash-preview-09-2025,gpt-5-nano-2025-08-07,-1,Nerve block
gpt-5-2025-08-07,gpt-5-mini-2025-08-07,0.50334,Nerve block
gpt-5-2025-08-07,gpt-5-nano-2025-08-07,-1,Nerve block
gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,-1,Nerve block
deepseek,gemini-2.5-flash-preview-09-2025,0.55701,Anesthesia type
deepseek,gpt-5-2025-08-07,0.53886,Anesthesia type
deepseek,gpt-5-mini-2025-08-07,0.80081,Anesthesia type
deepseek,gpt-5-nano-2025-08-07,0.6281,Anesthesia type
gemini-2.5-flash-preview-09-2025,gpt-5-2025-08-07,0.90291,Anesthesia type
gemini-2.5-flash-preview-09-2025,gpt-5-mini-2025-08-07,0.75168,Anesthesia type
gemini-2.5-flash-preview-09-2025,gpt-5-nano-2025-08-07,0.7525,Anesthesia type
gpt-5-2025-08-07,gpt-5-mini-2025-08-07,0.75193,Anesthesia type
gpt-5-2025-08-07,gpt-5-nano-2025-08-07,0.81072,Anesthesia type
gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,0.95133,Anesthesia type
deepseek,gemini-2.5-flash-preview-09-2025,0.91777,Arterial line
deepseek,gpt-5-2025-08-07,0.97641,Arterial line
deepseek,gpt-5-mini-2025-08-07,0.91923,Arterial line
deepseek,gpt-5-nano-2025-08-07,0.85329,Arterial line
gemini-2.5-flash-preview-09-2025,gpt-5-2025-08-07,0.97576,Arterial line
gemini-2.5-flash-preview-09-2025,gpt-5-mini-2025-08-07,0.91704,Arterial line
gemini-2.5-flash-preview-09-2025,gpt-5-nano-2025-08-07,0.85814,Arterial line
gpt-5-2025-08-07,gpt-5-mini-2025-08-07,0.9818,Arterial line
gpt-5-2025-08-07,gpt-5-nano-2025-08-07,0.83877,Arterial line
gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,0.86005,Arterial line
